iter	Passed	Remaining
193	1558	2457
194	1562	2443
195	1568	2432
196	1572	2418
197	1577	2406
198	1585	2398
199	1603	2404
200	1610	2395
201	1619	2389
202	1624	2376
203	1629	2364
204	1637	2356
205	1642	2343
206	1648	2333
207	1652	2319
208	1657	2307
209	1661	2294
210	1666	2283
211	1671	2270
212	1676	2258
213	1682	2248
214	1686	2235
215	1692	2224
216	1697	2213
217	1701	2201
218	1706	2189
219	1713	2180
220	1717	2168
221	1723	2158
222	1728	2146
223	1735	2138
224	1746	2134
225	1751	2123
226	1757	2113
227	1762	2102
228	1766	2090
229	1771	2079
230	1777	2070
231	1783	2060
232	1792	2053
233	1800	2047
234	1810	2041
235	1816	2031
236	1822	2022
237	1829	2014
238	1850	2020
239	1855	2009
240	1859	1997
241	1863	1986
242	1870	1978
243	1877	1969
244	1882	1959
245	1887	1949
246	1893	1939
247	1897	1928
248	1903	1918
249	1909	1909
250	1913	1898
251	1918	1888
252	1923	1878
253	1933	1872
254	1943	1866
255	1948	1857
256	1953	1846
257	1958	1837
258	1966	1829
259	1973	1821
260	1977	1811
261	1982	1800
262	1987	1790
263	1994	1782
264	1999	1773
265	2006	1765
266	2011	1755
267	2015	1744
268	2019	1734
269	2025	1725
270	2030	1716
271	2036	1706
272	2041	1697
273	2045	1686
274	2049	1677
275	2054	1667
276	2058	1657
277	2062	1647
278	2069	1639
279	2075	1630
280	2079	1620
281	2086	1612
282	2092	1604
283	2097	1595
284	2104	1587
285	2108	1577
286	2113	1568
287	2118	1559
288	2126	1552
289	2132	1544
290	2139	1536
291	2143	1527
292	2149	1518
293	2154	1509
294	2164	1504
295	2172	1496
296	2176	1487
297	2181	1479
298	2187	1470
299	2193	1462
300	2200	1454
301	2205	1445
302	2209	1436
303	2214	1428
304	2223	1421
305	2228	1412
306	2235	1405
307	2239	1396
308	2244	1387
309	2250	1379
310	2254	1369
311	2258	1361
312	2266	1353
313	2270	1344
314	2274	1335
315	2279	1327
316	2285	1319
317	2289	1310
318	2296	1302
319	2301	1294
320	2306	1286
321	2311	1277
322	2318	1270
323	2325	1263
324	2332	1255
325	2336	1247
326	2342	1239
327	2348	1231
328	2352	1222
329	2358	1215
330	2365	1207
331	2370	1199
332	2375	1191
333	2381	1183
334	2385	1174
335	2389	1166
336	2397	1159
337	2402	1151
338	2407	1143
339	2413	1135
340	2418	1127
341	2424	1119
342	2429	1112
343	2439	1106
344	2443	1097
345	2449	1090
346	2454	1082
347	2460	1074
348	2465	1066
349	2470	1058
350	2475	1050
351	2482	1043
352	2486	1035
353	2492	1028
354	2497	1020
355	2502	1012
356	2508	1004
357	2514	997
358	2519	989
359	2526	982
360	2534	976
361	2539	968
362	2545	960
363	2549	952
364	2555	945
365	2560	937
366	2564	929
367	2639	946
368	2646	939
369	2658	934
370	2678	931
371	2688	925
372	2694	917
373	2699	909
374	2704	901
375	2709	893
376	2713	885
377	2734	882
378	2739	874
379	2744	866
380	2748	858
381	2757	851
382	2764	844
383	2774	838
384	2791	833
385	2807	829
386	2813	821
387	2834	818
388	2841	810
389	2858	806
390	2869	799
391	2880	793
392	2893	787
393	2909	782
394	2919	776
395	2929	769
396	2936	761
397	2944	754
398	2952	747
399	2959	739
400	2966	732
401	2973	724
402	2977	716
403	2985	709
404	2991	701
405	2997	693
406	3002	686
407	3009	678
408	3016	671
409	3022	663
410	3031	656
411	3037	648
412	3043	641
413	3052	634
414	3059	626
415	3067	619
416	3074	611
417	3082	604
418	3088	597
419	3093	589
420	3106	582
421	3121	576
422	3133	570
423	3141	563
424	3153	556
425	3162	549
426	3171	542
427	3182	535
428	3189	527
429	3194	520
430	3200	512
431	3212	505
432	3219	498
433	3226	490
434	3231	482
435	3237	475
436	3242	467
437	3248	459
438	3254	452
439	3260	444
440	3266	437
441	3271	429
442	3278	421
443	3284	414
444	3288	406
445	3294	398
446	3300	391
447	3305	383
448	3313	376
449	3324	369
450	3328	361
451	3334	354
452	3339	346
453	3347	339
454	3354	331
455	3361	324
456	3366	316
457	3374	309
458	3381	302
459	3393	295
460	3423	289
461	3433	282
462	3464	276
463	3479	269
464	3516	264
465	3532	257
466	3554	251
467	3569	244
468	3581	236
469	3597	229
470	3726	229
471	3749	222
472	3776	215
473	3792	208
474	3814	200
475	3824	192
476	3837	185
477	3853	177
478	3862	169
479	3885	161
480	3895	153
481	3913	146
482	3925	138
483	3930	129
484	3940	121
485	3945	113
486	3953	105
487	3960	97
488	3969	89
489	3974	81
490	3979	72
491	3984	64
492	3991	56
493	4001	48
494	4008	40
495	4015	32
496	4021	24
497	4025	16
498	4033	8
499	4039	0
